city,state,street_number,street_name,scientific_name,common_name,height_range,width,diameter_breast_height_range,scientific_name_old,common_name_old,address,height_binned_m,diameter_breast_height_binned,diameter_breast_height_binned_cm,nonmatch,word_count_name,genus_only,native,latitude,longitude
Nashville,Tennessee,111.0,10TH AV S,Acer saccharum,Sugar maple,26 to 30 ft,21 to 25,21 to 25 in,Acer saccharum,Sugar Maple,111 10Th Av S,,21 to 25 in,,False,2,no,TRUE,36.155914,-86.782796
Nashville,Tennessee,111.0,10TH AV S,Acer saccharum,Sugar maple,26 to 30 ft,26 to 30,26 to 30 in,Acer saccharum,Sugar Maple,111 10Th Av S,,26 to 30 in,,False,2,no,TRUE,36.155914,-86.782796
Nashville,Tennessee,111.0,10TH AV S,Acer saccharum,Sugar maple,26 to 30 ft,26 to 30,26 to 30 in,Acer saccharum,Sugar Maple,111 10Th Av S,,26 to 30 in,,False,2,no,TRUE,36.155914,-86.782796
Nashville,Tennessee,111.0,10TH AV S,Acer saccharum,Sugar maple,21 to 25 ft,21 to 25,21 to 25 in,Acer saccharum,Sugar Maple,111 10Th Av S,,21 to 25 in,,False,2,no,TRUE,36.155914,-86.782796
Nashville,Tennessee,111.0,10TH AV S,Acer saccharum,Sugar maple,16 to 20 ft,21 to 25,21 to 25 in,Acer saccharum,Sugar Maple,111 10Th Av S,,21 to 25 in,,False,2,no,TRUE,36.155914,-86.782796
Nashville,Tennessee,111.0,10TH AV S,Pistacia,Chinese pistache,26 to 30 ft,26 to 30,26 to 30 in,Pistacia sinensis,Chinese Pistache,111 10Th Av S,,26 to 30 in,,False,2,no,FALSE,36.155914,-86.782796
Nashville,Tennessee,111.0,10TH AV S,Pistacia,Chinese pistache,26 to 30 ft,26 to 30,26 to 30 in,Pistacia sinensis,Chinese Pistache,111 10Th Av S,,26 to 30 in,,False,2,no,FALSE,36.155914,-86.782796
Nashville,Tennessee,111.0,10TH AV S,Pistacia,Chinese pistache,26 to 30 ft,21 to 25,21 to 25 in,Pistacia sinensis,Chinese Pistache,111 10Th Av S,,21 to 25 in,,False,2,no,FALSE,36.155914,-86.782796
Nashville,Tennessee,111.0,10TH AV S,Pistacia,Chinese pistache,26 to 30 ft,21 to 25,21 to 25 in,Pistacia sinensis,Chinese Pistache,111 10Th Av S,,21 to 25 in,,False,2,no,FALSE,36.155914,-86.782796
Nashville,Tennessee,111.0,10TH AV S,Pistacia,Chinese pistache,26 to 30 ft,26 to 30,26 to 30 in,Pistacia sinensis,Chinese Pistache,111 10Th Av S,,26 to 30 in,,False,2,no,FALSE,36.155914,-86.782796
Nashville,Tennessee,111.0,10TH AV S,Pistacia,Chinese pistache,26 to 30 ft,26 to 30,26 to 30 in,Pistacia sinensis,Chinese Pistache,111 10Th Av S,,26 to 30 in,,False,2,no,FALSE,36.155914,-86.782796
Nashville,Tennessee,111.0,10TH AV S,Pistacia,Chinese pistache,26 to 30 ft,26 to 30,26 to 30 in,Pistacia sinensis,Chinese Pistache,111 10Th Av S,,26 to 30 in,,False,2,no,FALSE,36.155914,-86.782796
Nashville,Tennessee,111.0,10TH AV S,Pistacia,Chinese pistache,26 to 30 ft,21 to 25,21 to 25 in,Pistacia sinensis,Chinese Pistache,111 10Th Av S,,21 to 25 in,,False,2,no,FALSE,36.155914,-86.782796
Nashville,Tennessee,111.0,10TH AV S,Pistacia,Chinese pistache,26 to 30 ft,26 to 30,26 to 30 in,Pistacia sinensis,Chinese Pistache,111 10Th Av S,,26 to 30 in,,False,2,no,FALSE,36.155914,-86.782796
Nashville,Tennessee,111.0,10TH AV S,Pistacia,Chinese pistache,21 to 25 ft,21 to 25,21 to 25 in,Pistacia sinensis,Chinese Pistache,111 10Th Av S,,21 to 25 in,,False,2,no,FALSE,36.155914,-86.782796
Nashville,Tennessee,111.0,10TH AV S,Prunus yedoensis,Yoshino cherry,21 to 25 ft,26 to 30,26 to 30 in,Prunus x yedoensis,Yoshino Cherry,111 10Th Av S,,26 to 30 in,,False,2,no,FALSE,36.155914,-86.782796
Nashville,Tennessee,111.0,10TH AV S,Prunus yedoensis,Yoshino cherry,21 to 25 ft,21 to 25,21 to 25 in,Prunus x yedoensis,Yoshino Cherry,111 10Th Av S,,21 to 25 in,,False,2,no,FALSE,36.155914,-86.782796
Nashville,Tennessee,111.0,10TH AV S,Prunus yedoensis,Yoshino cherry,21 to 25 ft,26 to 30,26 to 30 in,Prunus x yedoensis,Yoshino Cherry,111 10Th Av S,,26 to 30 in,,False,2,no,FALSE,36.155914,-86.782796
Nashville,Tennessee,111.0,10TH AV S,Ulmus pumila,Siberian elm,26 to 30 ft,26 to 30,26 to 30 in,Ulmus pumila,Siberian Elm,111 10Th Av S,,26 to 30 in,,False,2,no,FALSE,36.155914,-86.782796
Nashville,Tennessee,111.0,10TH AV S,Ulmus pumila,Siberian elm,26 to 30 ft,26 to 30,26 to 30 in,Ulmus pumila,Siberian Elm,111 10Th Av S,,26 to 30 in,,False,2,no,FALSE,36.155914,-86.782796
Nashville,Tennessee,111.0,10TH AV S,Ulmus pumila,Siberian elm,26 to 30 ft,21 to 25,21 to 25 in,Ulmus pumila,Siberian Elm,111 10Th Av S,,21 to 25 in,,False,2,no,FALSE,36.155914,-86.782796
Nashville,Tennessee,209.0,10TH AV S,Gleditsia triacanthos,Honey locust,16 to 20 ft,21 to 25,21 to 25 in,Gleditsia triacanthos cv.,Honey Locust,209 10Th Av S,,21 to 25 in,,False,2,no,TRUE,36.1551458,-86.7825585
Nashville,Tennessee,,11TH AV S,Quercus shumardii,Shumard oak,6 to 10 ft,1 to 5,1 to 5 in,Quercus shumardii,Shumard Oak,nan 11Th Av S,,1 to 5 in,,False,2,no,TRUE,36.153515,-86.7839574
Nashville,Tennessee,,11TH AV S,Quercus shumardii,Shumard oak,6 to 10 ft,1 to 5,1 to 5 in,Quercus shumardii,Shumard Oak,nan 11Th Av S,,1 to 5 in,,False,2,no,TRUE,36.153515,-86.7839574
Nashville,Tennessee,,11TH AV S,Quercus shumardii,Shumard oak,6 to 10 ft,1 to 5,1 to 5 in,Quercus shumardii,Shumard Oak,nan 11Th Av S,,1 to 5 in,,False,2,no,TRUE,36.153515,-86.7839574
Nashville,Tennessee,600.0,12TH AV S,Quercus shumardii,Shumard oak,21 to 25 ft,1 to 5,1 to 5 in,Quercus shumardii,Shumard Oak,600 12Th Av S,,1 to 5 in,,False,2,no,TRUE,36.151474,-86.784185
Nashville,Tennessee,10.0,11TH AV S,Acer ginnala,Amur maple,16 to 20 ft,16 to 20,16 to 20 in,Acer ginnala,Amur Maple,10 11Th Av S,,16 to 20 in,,False,2,no,FALSE,36.153515,-86.7839574
Nashville,Tennessee,100.0,1ST AV S,Prunus yedoensis,Yoshino cherry,6 to 10 ft,1 to 5,1 to 5 in,Prunus x yedoensis,Yoshino Cherry,100 1St Av S,,1 to 5 in,,False,2,no,FALSE,36.162166,-86.774199
Nashville,Tennessee,10.0,11TH AV S,Acer ginnala,Amur maple,11 to 15 ft,16 to 20,16 to 20 in,Acer ginnala,Amur Maple,10 11Th Av S,,16 to 20 in,,False,2,no,FALSE,36.153515,-86.7839574
Nashville,Tennessee,10.0,11TH AV S,Acer ginnala,Amur maple,11 to 15 ft,16 to 20,16 to 20 in,Acer ginnala,Amur Maple,10 11Th Av S,,16 to 20 in,,False,2,no,FALSE,36.153515,-86.7839574
Nashville,Tennessee,10.0,11TH AV S,Acer ginnala,Amur maple,11 to 15 ft,16 to 20,16 to 20 in,Acer ginnala,Amur Maple,10 11Th Av S,,16 to 20 in,,False,2,no,FALSE,36.153515,-86.7839574
Nashville,Tennessee,10.0,11TH AV S,Acer ginnala,Amur maple,11 to 15 ft,16 to 20,16 to 20 in,Acer ginnala,Amur Maple,10 11Th Av S,,16 to 20 in,,False,2,no,FALSE,36.153515,-86.7839574
Nashville,Tennessee,10.0,11TH AV S,Acer ginnala,Amur maple,11 to 15 ft,16 to 20,16 to 20 in,Acer ginnala,Amur Maple,10 11Th Av S,,16 to 20 in,,False,2,no,FALSE,36.153515,-86.7839574
Nashville,Tennessee,100.0,1ST AV S,Prunus yedoensis,Yoshino cherry,6 to 10 ft,1 to 5,1 to 5 in,Prunus x yedoensis,Yoshino Cherry,100 1St Av S,,1 to 5 in,,False,2,no,FALSE,36.162166,-86.774199
Nashville,Tennessee,100.0,1ST AV S,Prunus yedoensis,Yoshino cherry,6 to 10 ft,1 to 5,1 to 5 in,Prunus x yedoensis,Yoshino Cherry,100 1St Av S,,1 to 5 in,,False,2,no,FALSE,36.162166,-86.774199
Nashville,Tennessee,100.0,1ST AV S,Prunus yedoensis,Yoshino cherry,6 to 10 ft,1 to 5,1 to 5 in,Prunus x yedoensis,Yoshino Cherry,100 1St Av S,,1 to 5 in,,False,2,no,FALSE,36.162166,-86.774199
Nashville,Tennessee,100.0,1ST AV S,Prunus yedoensis,Yoshino cherry,6 to 10 ft,1 to 5,1 to 5 in,Prunus x yedoensis,Yoshino Cherry,100 1St Av S,,1 to 5 in,,False,2,no,FALSE,36.162166,-86.774199
Nashville,Tennessee,10.0,11TH AV S,Acer ginnala,Amur maple,11 to 15 ft,16 to 20,16 to 20 in,Acer ginnala,Amur Maple,10 11Th Av S,,16 to 20 in,,False,2,no,FALSE,36.153515,-86.7839574
Nashville,Tennessee,10.0,11TH AV S,Acer ginnala,Amur maple,11 to 15 ft,16 to 20,16 to 20 in,Acer ginnala,Amur Maple,10 11Th Av S,,16 to 20 in,,False,2,no,FALSE,36.153515,-86.7839574
Nashville,Tennessee,110.0,1ST AV S,Crataegus,Hawthorn,6 to 10 ft,1 to 5,1 to 5 in,Crataegus sp.,Hawthorn,110 1St Av S,,1 to 5 in,,False,1,genus_only,no_info,36.1615756,-86.7740491
Nashville,Tennessee,110.0,1ST AV S,Crataegus,Hawthorn,6 to 10 ft,1 to 5,1 to 5 in,Crataegus sp.,Hawthorn,110 1St Av S,,1 to 5 in,,False,1,genus_only,no_info,36.1615756,-86.7740491
Nashville,Tennessee,10.0,11TH AV S,Acer ginnala,Amur maple,11 to 15 ft,16 to 20,16 to 20 in,Acer ginnala,Amur Maple,10 11Th Av S,,16 to 20 in,,False,2,no,FALSE,36.153515,-86.7839574
Nashville,Tennessee,10.0,11TH AV S,Acer ginnala,Amur maple,11 to 15 ft,16 to 20,16 to 20 in,Acer ginnala,Amur Maple,10 11Th Av S,,16 to 20 in,,False,2,no,FALSE,36.153515,-86.7839574
Nashville,Tennessee,110.0,1ST AV S,Crataegus,Hawthorn,6 to 10 ft,1 to 5,1 to 5 in,Crataegus sp.,Hawthorn,110 1St Av S,,1 to 5 in,,False,1,genus_only,no_info,36.1615756,-86.7740491
Nashville,Tennessee,10.0,11TH AV S,Acer ginnala,Amur maple,11 to 15 ft,16 to 20,16 to 20 in,Acer ginnala,Amur Maple,10 11Th Av S,,16 to 20 in,,False,2,no,FALSE,36.153515,-86.7839574
Nashville,Tennessee,,2ND AV S,Pyrus calleryana,Callery pear,6 to 10 ft,1 to 5,1 to 5 in,Pyrus calleryana,Callery Pear,nan 2Nd Av S,,1 to 5 in,,False,2,no,FALSE,36.148508,-86.7664992
Nashville,Tennessee,10.0,11TH AV S,Fraxinus americana,White ash,21 to 25 ft,16 to 20,16 to 20 in,Fraxinus americana,White Ash,10 11Th Av S,,16 to 20 in,,False,2,no,TRUE,36.153515,-86.7839574
Nashville,Tennessee,10.0,11TH AV S,Fraxinus americana,White ash,21 to 25 ft,16 to 20,16 to 20 in,Fraxinus americana,White Ash,10 11Th Av S,,16 to 20 in,,False,2,no,TRUE,36.153515,-86.7839574
Nashville,Tennessee,314.0,3RD AV S,Pyrus calleryana,Callery pear,6 to 10 ft,1 to 5,1 to 5 in,Pyrus calleryana,Callery Pear,314 3Rd Av S,,1 to 5 in,,False,2,no,FALSE,36.1585852,-86.7739061
Nashville,Tennessee,10.0,11TH AV S,Fraxinus americana,White ash,21 to 25 ft,16 to 20,16 to 20 in,Fraxinus americana,White Ash,10 11Th Av S,,16 to 20 in,,False,2,no,TRUE,36.153515,-86.7839574
Nashville,Tennessee,10.0,11TH AV S,Fraxinus americana,White ash,21 to 25 ft,21 to 25,21 to 25 in,Fraxinus americana,White Ash,10 11Th Av S,,21 to 25 in,,False,2,no,TRUE,36.153515,-86.7839574
Nashville,Tennessee,10.0,11TH AV S,Fraxinus americana,White ash,21 to 25 ft,21 to 25,21 to 25 in,Fraxinus americana,White Ash,10 11Th Av S,,21 to 25 in,,False,2,no,TRUE,36.153515,-86.7839574
Nashville,Tennessee,10.0,11TH AV S,Fraxinus americana,White ash,21 to 25 ft,21 to 25,21 to 25 in,Fraxinus americana,White Ash,10 11Th Av S,,21 to 25 in,,False,2,no,TRUE,36.153515,-86.7839574
Nashville,Tennessee,10.0,11TH AV S,Fraxinus americana,White ash,26 to 30 ft,21 to 25,21 to 25 in,Fraxinus americana,White Ash,10 11Th Av S,,21 to 25 in,,False,2,no,TRUE,36.153515,-86.7839574
Nashville,Tennessee,,3RD AV S,Metasequoia glyptostroboides,Dawn redwood,6 to 10 ft,1 to 5,1 to 5 in,Metasequoia glyptostroboides,Dawn Redwood,nan 3Rd Av S,,1 to 5 in,,False,2,no,FALSE,36.1606262,-86.7753555
Nashville,Tennessee,,3RD AV S,Metasequoia glyptostroboides,Dawn redwood,6 to 10 ft,1 to 5,1 to 5 in,Metasequoia glyptostroboides,Dawn Redwood,nan 3Rd Av S,,1 to 5 in,,False,2,no,FALSE,36.1606262,-86.7753555
Nashville,Tennessee,10.0,11TH AV S,Fraxinus americana,White ash,21 to 25 ft,16 to 20,16 to 20 in,Fraxinus americana,White Ash,10 11Th Av S,,16 to 20 in,,False,2,no,TRUE,36.153515,-86.7839574
Nashville,Tennessee,10.0,11TH AV S,Fraxinus americana,White ash,21 to 25 ft,16 to 20,16 to 20 in,Fraxinus americana,White Ash,10 11Th Av S,,16 to 20 in,,False,2,no,TRUE,36.153515,-86.7839574
Nashville,Tennessee,10.0,11TH AV S,Fraxinus americana,White ash,21 to 25 ft,16 to 20,16 to 20 in,Fraxinus americana,White Ash,10 11Th Av S,,16 to 20 in,,False,2,no,TRUE,36.153515,-86.7839574
Nashville,Tennessee,10.0,11TH AV S,Fraxinus americana,White ash,21 to 25 ft,16 to 20,16 to 20 in,Fraxinus americana,White Ash,10 11Th Av S,,16 to 20 in,,False,2,no,TRUE,36.153515,-86.7839574
Nashville,Tennessee,,3RD AV S,Metasequoia glyptostroboides,Dawn redwood,6 to 10 ft,1 to 5,1 to 5 in,Metasequoia glyptostroboides,Dawn Redwood,nan 3Rd Av S,,1 to 5 in,,False,2,no,FALSE,36.1606262,-86.7753555
Nashville,Tennessee,10.0,11TH AV S,Fraxinus pennsylvanica,Green ash,21 to 25 ft,16 to 20,16 to 20 in,Fraxinus pennsylvanicum,Green Ash,10 11Th Av S,,16 to 20 in,,False,2,no,TRUE,36.153515,-86.7839574
Nashville,Tennessee,10.0,11TH AV S,Metasequoia glyptostroboides,Dawn redwood,21 to 25 ft,16 to 20,16 to 20 in,Metasequoia glyptostroboides,Dawn Redwood,10 11Th Av S,,16 to 20 in,,False,2,no,FALSE,36.153515,-86.7839574
Nashville,Tennessee,10.0,11TH AV S,Metasequoia glyptostroboides,Dawn redwood,21 to 25 ft,16 to 20,16 to 20 in,Metasequoia glyptostroboides,Dawn Redwood,10 11Th Av S,,16 to 20 in,,False,2,no,FALSE,36.153515,-86.7839574
Nashville,Tennessee,10.0,11TH AV S,Metasequoia glyptostroboides,Dawn redwood,26 to 30 ft,16 to 20,16 to 20 in,Metasequoia glyptostroboides,Dawn Redwood,10 11Th Av S,,16 to 20 in,,False,2,no,FALSE,36.153515,-86.7839574
Nashville,Tennessee,10.0,11TH AV S,Metasequoia glyptostroboides,Dawn redwood,16 to 20 ft,21 to 25,21 to 25 in,Metasequoia glyptostroboides,Dawn Redwood,10 11Th Av S,,21 to 25 in,,False,2,no,FALSE,36.153515,-86.7839574
Nashville,Tennessee,10.0,11TH AV S,Metasequoia glyptostroboides,Dawn redwood,21 to 25 ft,16 to 20,16 to 20 in,Metasequoia glyptostroboides,Dawn Redwood,10 11Th Av S,,16 to 20 in,,False,2,no,FALSE,36.153515,-86.7839574
Nashville,Tennessee,10.0,11TH AV S,Metasequoia glyptostroboides,Dawn redwood,21 to 25 ft,16 to 20,16 to 20 in,Metasequoia glyptostroboides,Dawn Redwood,10 11Th Av S,,16 to 20 in,,False,2,no,FALSE,36.153515,-86.7839574
Nashville,Tennessee,10.0,11TH AV S,Metasequoia glyptostroboides,Dawn redwood,21 to 25 ft,16 to 20,16 to 20 in,Metasequoia glyptostroboides,Dawn Redwood,10 11Th Av S,,16 to 20 in,,False,2,no,FALSE,36.153515,-86.7839574
Nashville,Tennessee,10.0,11TH AV S,Metasequoia glyptostroboides,Dawn redwood,26 to 30 ft,16 to 20,16 to 20 in,Metasequoia glyptostroboides,Dawn Redwood,10 11Th Av S,,16 to 20 in,,False,2,no,FALSE,36.153515,-86.7839574
Nashville,Tennessee,10.0,11TH AV S,Metasequoia glyptostroboides,Dawn redwood,26 to 30 ft,16 to 20,16 to 20 in,Metasequoia glyptostroboides,Dawn Redwood,10 11Th Av S,,16 to 20 in,,False,2,no,FALSE,36.153515,-86.7839574
Nashville,Tennessee,10.0,11TH AV S,Metasequoia glyptostroboides,Dawn redwood,21 to 25 ft,16 to 20,16 to 20 in,Metasequoia glyptostroboides,Dawn Redwood,10 11Th Av S,,16 to 20 in,,False,2,no,FALSE,36.153515,-86.7839574
Nashville,Tennessee,10.0,11TH AV S,Metasequoia glyptostroboides,Dawn redwood,21 to 25 ft,16 to 20,16 to 20 in,Metasequoia glyptostroboides,Dawn Redwood,10 11Th Av S,,16 to 20 in,,False,2,no,FALSE,36.153515,-86.7839574
Nashville,Tennessee,,4TH AV N,Carpinus betulus,European hornbeam,6 to 10 ft,1 to 5,1 to 5 in,Carpinus betulus,European Hornbeam,nan 4Th Av N,,1 to 5 in,,False,2,no,FALSE,36.1664405,-86.7807507
Nashville,Tennessee,,4TH AV N,Carpinus betulus,European hornbeam,6 to 10 ft,1 to 5,1 to 5 in,Carpinus betulus,European Hornbeam,nan 4Th Av N,,1 to 5 in,,False,2,no,FALSE,36.1664405,-86.7807507
Nashville,Tennessee,,4TH AV N,Carpinus betulus,European hornbeam,11 to 15 ft,1 to 5,1 to 5 in,Carpinus betulus,European Hornbeam,nan 4Th Av N,,1 to 5 in,,False,2,no,FALSE,36.1664405,-86.7807507
Nashville,Tennessee,,4TH AV N,Carpinus betulus,European hornbeam,6 to 10 ft,1 to 5,1 to 5 in,Carpinus betulus,European Hornbeam,nan 4Th Av N,,1 to 5 in,,False,2,no,FALSE,36.1664405,-86.7807507
Nashville,Tennessee,,4TH AV N,Carpinus betulus,European hornbeam,6 to 10 ft,1 to 5,1 to 5 in,Carpinus betulus,European Hornbeam,nan 4Th Av N,,1 to 5 in,,False,2,no,FALSE,36.1664405,-86.7807507
Nashville,Tennessee,,4TH AV N,Carpinus betulus,European hornbeam,11 to 15 ft,1 to 5,1 to 5 in,Carpinus betulus,European Hornbeam,nan 4Th Av N,,1 to 5 in,,False,2,no,FALSE,36.1664405,-86.7807507
Nashville,Tennessee,,4TH AV N,Carpinus betulus,European hornbeam,6 to 10 ft,1 to 5,1 to 5 in,Carpinus betulus,European Hornbeam,nan 4Th Av N,,1 to 5 in,,False,2,no,FALSE,36.1664405,-86.7807507
Nashville,Tennessee,,4TH AV N,Zelkova serrata,Japanese zelkova,6 to 10 ft,1 to 5,1 to 5 in,Zelkova serrata,Japanese Zelkova,nan 4Th Av N,,1 to 5 in,,False,2,no,FALSE,36.1664405,-86.7807507
Nashville,Tennessee,313.0,4TH AV S,Cornus florida,Dogwood,6 to 10 ft,1 to 5,1 to 5 in,Cornus florida,Dogwood,313 4Th Av S,,1 to 5 in,,False,2,no,TRUE,36.1581031,-86.7754135
Nashville,Tennessee,,5TH AV N,Carpinus betulus,European hornbeam,6 to 10 ft,1 to 5,1 to 5 in,Carpinus betulus,European Hornbeam,nan 5Th Av N,,1 to 5 in,,False,2,no,FALSE,36.1632249,-86.7802119
Nashville,Tennessee,,5TH AV N,Ginkgo biloba,Ginkgo,6 to 10 ft,1 to 5,1 to 5 in,Ginkgo biloba,Ginkgo,nan 5Th Av N,,1 to 5 in,,False,2,no,FALSE,36.1632249,-86.7802119
Nashville,Tennessee,,5TH AV N,Liquidambar styraciflua,Sweetgum,6 to 10 ft,1 to 5,1 to 5 in,Liquidambar styraciflua cv.,Sweetgum,nan 5Th Av N,,1 to 5 in,,False,2,no,TRUE,36.1632249,-86.7802119
Nashville,Tennessee,,5TH AV N,Quercus robur,English oak,16 to 20 ft,1 to 5,1 to 5 in,Quercus robur,English Oak,nan 5Th Av N,,1 to 5 in,,False,2,no,FALSE,36.1632249,-86.7802119
Nashville,Tennessee,301.0,5TH AV S,Acer saccharum,Sugar maple,11 to 15 ft,1 to 5,1 to 5 in,Acer saccharum,Sugar Maple,301 5Th Av S,,1 to 5 in,,False,2,no,TRUE,36.1575273,-86.7766286
Nashville,Tennessee,301.0,5TH AV S,Acer saccharum,Sugar maple,16 to 20 ft,1 to 5,1 to 5 in,Acer saccharum,Sugar Maple,301 5Th Av S,,1 to 5 in,,False,2,no,TRUE,36.1575273,-86.7766286
Nashville,Tennessee,301.0,5TH AV S,Platanus hispanica,London planetree,16 to 20 ft,1 to 5,1 to 5 in,Platanus x hispanica,London Planetree,301 5Th Av S,,1 to 5 in,,False,2,no,FALSE,36.1575273,-86.7766286
Nashville,Tennessee,,6TH AV N,Liquidambar styraciflua,Sweetgum,1 to 5 ft,1 to 5,1 to 5 in,Liquidambar styraciflua cv.,Sweetgum,nan 6Th Av N,,1 to 5 in,,False,2,no,TRUE,36.1646969,-86.7827601
Nashville,Tennessee,,BROADWAY,Ilex opaca,American holly,6 to 10 ft,1 to 5,1 to 5 in,Ilex opaca,American Holly,nan Broadway,,1 to 5 in,,False,2,no,TRUE,36.1496279,-86.79802
Nashville,Tennessee,901.0,CHARLOTTE AV,Ilex,Nellie r. stevens holly,6 to 10 ft,1 to 5,1 to 5 in,Ilex x 'Nellie R. Stevens',Nellie R. Stevens Holly,901 Charlotte Av,,1 to 5 in,,False,1,genus_only,no_info,36.163849,-86.786468
